0
//=======================================================
//Idx	Ya	Mon	Day	DoW	Hor	Min	Sec
//=======================================================
//0		*	*	*	*	0	10	0
//0		*	*	*	*	1	15	0
//0		*	*	*	*	2	20	0
//0		*	*	*	*	3	25	0
//0		*	*	*	*	4	30	0
//0		*	*	*	*	5	35	0
//0		*	*	*	*	6	40	0
//0		*	*	*	*	7	45	0
//0		*	*	*	*	8	50	0
//0		*	*	*	*	9	55	0
//0		*	*	*	*	10	50	0
//0		*	*	*	*	11	45	0
//0		*	*	*	*	12	40	0
//0		*	*	*	*	13	35	0
//0		*	*	*	*	14	30	0
//0		*	*	*	*	15	25	0
//0		*	*	*	*	16	20	0
//0		*	*	*	*	17	15	0
//0		*	*	*	*	18	10	0
//0		*	*	*	*	19	05	0
//0		*	*	*	*	20	10	0
//0		*	*	*	*	21	19	0
//0		*	*	*	*	22	20	0
//0		*	*	*	*	23	25	0
end

1
//======================================================================================================
//		Name								Map	DropX	DropY	DropRange	AlarmTime	EventTime
//======================================================================================================
0		"Chuva de Ruud no Ring"				0	144		127		30			5			5
end

2
//===================================================================================
//Index   ItemIndex   ItemLevel   DropCount   DropDelay   Comment
//===================================================================================
0         7456        0           3           0           //Ruud box 100k
0         7456        0           3           30          //Ruud box 100k
0         7456        0           3           60          //Ruud box 100k
0         7456        0           3           90          //Ruud box 100k
0         7456        0           3           120         //Ruud box 100k
0         7456        0           3           150         //Ruud box 100k
0         7456        0           3           180         //Ruud box 100k
0         7456        0           3           210         //Ruud box 100k
0         7456        0           3           240         //Ruud box 100k
0         7456        0           3           270         //Ruud box 100k
0         7456        0           3           300         //Ruud box 100k
end
