//Index   Stage   Value   ItemRate   ItemCount   BonusItemRate   BonusItemIndex   BonusItemCount
//Azul
605       1       2       10000      1           *               *                *
605       2       2       9000       3           *               *                *
605       3       2       8000       7           *               *                *
605       4       2       7000       16          *               *                *
605       5       2       5000       33          5000            7513             1
//Roxa
606       1       4       10000      2           *               *                *
606       2       4       8500       6           *               *                *
606       3       4       7000       15          *               *                *
606       4       4       5500       34          *               *                *
606       5       4       4000       67          5000            7513             5
//Gold
607       1       8       10000      4           *               *                *
607       2       8       8000       12          *               *                *
607       3       8       6000       29          *               *                *
607       4       8       4000       65          *               *                *
607       5       8       2000       125         5000            7513             10
end
