//   0 = eShinyGreen, 1 = eGold, 2 = eWhite, 3 = eWhite180, 4 = eOrange, 5 = eGray100, 6 = eGray150, 7 = eBlowPink, 8 = eRed, 9 = eExcellent, 10 = eAncient, 11 = eSocket, 12 = eBlue, 13 = eYellow, 14 = eBrown

//Temporada
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	67	*	2100.0	0	120000	33		60		5000	59999	1000	20		120		0		0		*		5000	100		0		1		"Metal Balrog"			2

//Relouin
//	516	*	1.0	0	100	2		5		15000	30000	1000	40		0		0		0		*		10000	500		0		1		"Capirota"		7

//Life Stone - Siege
	278	*	1000.0	0	0		0		1		10000	30000	500		10		0		0		0		*		0		0		0		*		"Life Stone"			2
	
//Masmorra
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	18	*	1500.0	0	200000	33		60		5000	59999	800		40		0		0		0		*		10000	500		0		1		"Gorgon Guardian"		4
	785	*	1800.0	0	200000	33		60		5000	49999	900		40		0		0		0		*		15000	1000	0		1		"Dark Iron Knight"		4
	656	*	2100.0	0	200000	33		60		5000	39999	1200	40		0		0		0		*		20000	1500	0		1		"Golden Hell Maine"		1
	657	*	2100.0	0	200000	33		60		20000	32000	1500	40		0		0		0		*		50000	2000	0		1		"Golden Kundun"			1

//Boss Top
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	459	*	2100.0	0	230000	80		120		20000	50000	1500	20		0		0		0		*		100000	2000	0		1		"Selupan"				12
	275	*	2100.0	0	230000	70		100		20000	50000	1500	20		0		0		0		*		5000	2000	0		1		"Kundun"				12
	349	*	1000.0	0	230000	70		100		20000	50000	1500	20		0		0		0		*		5000	2000	0		1		"Balgass"				12
	734	*	2100.0	0	230000	70		100		20000	50000	1500	20		0		0		0		*		5000	2000	0		1		"Lord of Ferea"			12

//Boss Médios
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	77	*	1000.0	0	100000	20		40		40000	80000	1000	20		3600	0		0		*		1000	100		0		1		"Dark Phoenix"			4
	135	*	1000.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"White Wizard"			12
	42	*	1000.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Red Dragon"			8
	295	*	1000.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Erohim"				3
	561	*	1200.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Medusa"				9
	361	*	750.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Nightmare"				4
	340	*	300.0	0	100000	20		40		40000	80000	1000	20		0		0		0		*		1000	100		0		1		"Dark Elf"				2
	733	*	1200.0	0	100000	20		40		40000	80000	1000	20		3600	0		0		*		1000	100		0		1		"Ferea General"			9
	412	*	1500.0	0	120000	20		40		40000	80000	1000	20		3600	0		0		*		1000	100		0		1		"Dark Elf Pirocuda"		7
	309	*	1200.0	0	100000	20		40		40000	80000	1000	20		3600	0		0		*		5000	100		0		1		"Hell Maine"			8
	

//Boss Noobs
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	56	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Death Bone"			12
	55	*	10.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Skeleton King"			13	
	136	*	5.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Orc Soldier"			12
	137	*	5.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Orc Archer"			12
	362	*	20.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Maya Hand"				12
	363	*	20.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Maya Hand"				12
	681	*	5.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Evomon"				12
	674	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Moon Rabbit"			12
	
//Golden Top
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	82	*	2100.0	0	230000	80		110		20000	40000	1200	20		0		0		0		*		2000	1000	0		1		"Golden Tantalos"		13
	501	*	2100.0	0	230000	80		110		20000	40000	1200	20		0		0		0		*		2000	1000	0		1		"Golden Great Dragon"	13
	655	*	2100.0	0	230000	80		110		20000	40000	1200	20		0		0		0		*		2000	1000	0		1		"Golden Erohim"			13
	690	*	2100.0	0	150000	80		115		10000	29000	1500	40		0		0		0		*		50000	500		0		1		"Special Evomon"		1

//Golden Médios
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	53	*	600.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Titan"			1
	499	*	600.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Iron Knight"	1
	80	*	600.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Lizard King"	1
	494	*	600.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Devil"			1
	497	*	600.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Satyros"		1
	498	*	600.0	0	50000	20		40		40000	80000	500		5		0		0		0		*		500		100		0		*		"Golden Twin Tail"		1

//Golden Noobs
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	43	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Budge Dragon"	1
	54	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Soldier"		1
	78	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Goblin"			1	
	79	*	5.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Dragon"			1	
	81	*	3.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Vepar"			1
	83	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Iron Wheel"		1
	493	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Dark Knight"	1
	495	*	2.5		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Stone Golem"	1	
	496	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Crust"			1
	500	*	2.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Napin"			1
	502	*	1.0		0	1000	10		20		50000	200000	160		5		0		0		0		*		200		50		0		*		"Golden Rabbit"			1
	413	*	10.0	0	1000	10		20		50000	200000	160		5		0		0		0		*		5000	50		0		*		"CUelinho"				1
	677	*	10.0	0	1000	10		20		10000	49999	1000	10		60		0		0		*		1000	100		0		*		"Golden Goblin"			1
	
//Boss Elemental Médios
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	
	790	*	1000.0	6	100000	40		70		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Monster of the Swamp"	4
	791	*	1000.0	*	100000	40		70		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Pet of the Swamp"		12
	792	*	1000.0	*	100000	40		70		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Pet of the Swamp"		12
	793	*	1000.0	6	100000	40		70		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Monster of the Water"	10
	595	*	1000.0	*	100000	40		70		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Gnome"					12
	680	*	1000.0	6	100000	40		70		20000	60000	900		40		3600	0		0		*		10000	500		0		*		"Lord Elemental Knight"	12

//Boss Elemental Tops
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	WcoinP	WcoinC	AL_Coin	Rank					Color
	746	*	2100.0	*	120000	90		110		9900	40000	1200	40		0		0		0		*		50000	500		0		*		"Nix"					11
	778	*	2100.0	*	120000	80		100		9900	40000	1200	40		7200	0		0		*		5000	1000	0		*		"Deep Gorgon"			11
	794	*	2100.0	*	120000	75		105		9900	40000	1200	40		7200	0		0		*		5000	1000	0		*		"God of Darkness"		11
	673	*	2100.0	*	120000	70		110		9900	30000	1700	40		7200	0		0		*		5000	1000	0		*		"Lord Silvester"		11	

//Blood Castle
	131	*	200.0	0	0	0	1	10000	40000	500	10	0	0	0	*	0	100	0	*	"Castle Gate"		2
	132	*	200.0	0	0	0	1	10000	40000	500	10	0	0	0	*	0	100	0	*	"Statue of Saint"	2
	133	*	200.0	0	0	0	1	10000	40000	500	10	0	0	0	*	0	100	0	*	"Statue of Saint"	2
	134	*	200.0	0	0	0	1	10000	40000	500	10	0	0	0	*	0	100	0	*	"Statue of Saint"	2	

//Indefinidos
	
	
	652	*	40.0	0	1000	10	20	40000	68000	500	5	0	0	0	*	200	50	0	*	"Golden Goblin"		1
	653	*	41.0	0	3000	10	20	40000	67000	500	5	0	0	0	*	210	50	0	*	"Golden Titan"		1
	654	*	42.0	0	4000	10	20	40000	66000	500	5	0	0	0	*	215	50	0	*	"Golden Tantalose"	1	
	
	627	*	30.0	0	100	1	2	40000	64000	500	5	0	0	0	*	0	0	0	*	"Cursed Fire Tower"		12
	
	
	735	*	20.0	0	0	1	2	40000	50000	500	5	0	0	0	*	200	50	0	*	"Ferea Crystal Orb"		12	

	716	*	1.0	0	7500	1	40	40000	53500	500	40	0	0	0	*	500	50	0	*	"Core Magriffy"			12
	717	*	1.0	0	3300	1	40	40000	61800	500	5	0	0	0	*	200	50	0	*	"Core Magriffy"			12
	718	*	1.0	0	3300	1	40	40000	61800	500	5	0	0	0	*	200	50	0	*	"Core Magriffy"			12
	
//Eventos HitAndDrop
//	Ind	Map	HP		Ele	DmgMin>	DmgMi%>	DmgMa%>	DmgMin<	DmgMax<	DmgTime	Players	Timer	Points	Resets	AL_rst	Ruud	Bonus	WcoinC	AL_Coin	Rank					Color																		
	647	*	15.0	0	0		1		10		10000	89000	150		1		30		0		0		*		5000	50		0		1		"Green Snake (green)"	12
	648	*	16.0	0	0		1		10		10000	89000	150		1		30		0		0		*		5000	50		0		1		"Yellow Snake (yellow)"	12
	649	*	17.0	0	0		1		10		10000	89000	150		1		30		0		0		*		5000	50		0		1		"Purple Snake (purple)"	12
	650	*	18.0	0	0		1		10		10000	89000	150		1		30		0		0		*		5000	50		0		1		"Red Snake (red)"		12
	
	691	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"NewYear Horse (Green)"	12
	692	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"NewYear Horse (Yelow)"	12
	693	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"NewYear Horse (Brown)"	12
	694	*	1.0		0	0		1		10		10000	39000	500		1		0		0		0		*		5000	50		0		1		"NewYear Horse (Blue)"	12
